participant,FP,logFP,condition,FPType,conFPDur,orientation,prevOri,seqOri,oneBackFP,block,countBalance,condTestPos,meanRT,meanLogRT,meanRTzscore,meanInvRT,numFP,numOneBackFP,numLogFP,squaredNumFP,squaredNumLogFP,scaledNumFP,squaredScaledNumFP,scaledNumOneBackFP
1,2.8,0.447158031342219,action,variable,NA,left,right,different,2.8,3,1,1,0.5717024008433024,-0.24576042861175285,0.9159209433041422,1.77293382593671,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,left,left,same,1,1,1,1,0.426220178604126,-0.37077921052879315,-0.4711772503399673,2.3506741300285996,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,left,left,same,1,3,1,1,0.48850297927856445,-0.31162815957219264,0.12265723322035738,2.0517457187425774,2.8,1,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,-0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,left,left,same,2.8,1,1,1,0.5028574466705322,-0.2997509782877868,0.25951969987547574,1.9996582485812744,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
1,2.8,0.447158031342219,action,variable,NA,left,left,same,2.8,3,1,1,0.5049883842468261,-0.2980036255616191,0.279837094106547,1.9922728323426588,2.8,2.8,0.447158031342219,7.839999999999999,0.1999503049938489,0.9790002852101517,0.9584415584415584,0.9968304199190299
2,1,0,external,constant,short,right,right,same,1,1,2,1,0.4794318825006485,-0.3214603332273436,0.6192497158645648,2.1066997414397934,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,constant,short,right,left,different,1,1,2,1,0.409913698832194,-0.39167837374685527,-0.32060175868462887,2.4899243252155783,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,constant,short,left,right,different,1,1,2,1,0.43635714054107666,-0.3660436038513791,0.03690050001616327,2.3553174206991905,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,constant,short,left,left,same,1,1,2,1,0.4261359373728434,-0.3777661252573799,-0.101285113623366,2.426899130926112,1,1,0,1,0,-1.01525955503275,1.0307519640852973,-0.9968304199190299
2,1,0,external,constant,short,left,left,same,NA,1,2,1,0.4344639778137207,-0.3620462258557177,0.011305875890872162,2.3016867935337935,1,NA,0,1,0,-1.01525955503275,1.0307519640852973,NA
